baro_valid,baro_z,gps_valid,gps_x,gps_y,gps_z,imu_ax,imu_ay,imu_az,time_s
0.0,nan,0.0,nan,nan,nan,-0.37090184851819735,-0.31813679638860204,-0.0662527984170036,20.95
1.0,128.4621369351472,1.0,451.63470733450623,56.056264961815955,131.14478835326503,-0.317114320421243,-0.36663170867817846,0.002594413368034107,21.0
0.0,nan,0.0,nan,nan,nan,-0.3665001790081013,-0.4336610900843745,0.0031606294535428195,21.05
0.0,nan,0.0,nan,nan,nan,-0.2937120687462208,-0.379051931380657,-0.025701008153258976,21.1
0.0,nan,0.0,nan,nan,nan,-0.37700398311140143,-0.32361916064969104,0.16608193485246306,21.15
1.0,127.5613484230721,0.0,nan,nan,nan,-0.384095473312217,-0.4288006692045798,-0.006588758349812811,21.2
0.0,nan,0.0,nan,nan,nan,-0.30903448243130327,-0.3168191199213373,0.041169037046919627,21.25
0.0,nan,0.0,nan,nan,nan,-0.41522833274785675,-0.48074421830754455,0.14052007986421727,21.3
0.0,nan,0.0,nan,nan,nan,-0.32001844830456905,-0.37150915437266663,0.0608398282255791,21.35
1.0,127.77929113654224,0.0,nan,nan,nan,-0.36690961311111653,-0.38915916001386064,0.07174797445515481,21.4
0.0,nan,0.0,nan,nan,nan,-0.304034180104491,-0.31044794165260947,-0.01915882488820385,21.45
0.0,nan,0.0,nan,nan,nan,-0.3408752012447952,-0.3325157867719397,0.038113844904365854,21.5
0.0,nan,0.0,nan,nan,nan,-0.41402515107460064,-0.37340078290688106,0.0996963241552392,21.55
1.0,127.09950430276099,0.0,nan,nan,nan,-0.3263432717785474,-0.2886951695748329,0.04172915903439836,21.6
0.0,nan,0.0,nan,nan,nan,-0.31199373538976805,-0.34219802307624725,0.008860888466546354,21.65
0.0,nan,0.0,nan,nan,nan,-0.3542000343143281,-0.37031862233471735,-0.0774008015165335,21.7
0.0,nan,0.0,nan,nan,nan,-0.3391105142134915,-0.36184463149081675,0.14276282683808555,21.75
1.0,128.82079669646745,0.0,nan,nan,nan,-0.390402544118161,-0.3388277725194673,0.0871284204978997,21.8
0.0,nan,0.0,nan,nan,nan,-0.3188795011497412,-0.2409687147018365,0.10206632268288113,21.85
0.0,nan,0.0,nan,nan,nan,-0.2794611689411264,-0.26826680599806885,0.02319887377282251,21.9
0.0,nan,0.0,nan,nan,nan,-0.37045705663483913,-0.29636745168909856,0.13658454963841488,21.95
1.0,128.9635658099672,1.0,473.5511828438387,52.64124393236136,128.9986055218401,-0.3999113115576272,-0.3682771156536819,0.0910174945274304,22.0
0.0,nan,0.0,nan,nan,nan,-0.3663543070352731,-0.34767046566236065,0.07139122128626105,22.05
0.0,nan,0.0,nan,nan,nan,-0.29763290281450583,-0.35482746247373953,0.12005785898532631,22.1
0.0,nan,0.0,nan,nan,nan,-0.43232286326589153,-0.35881316457359885,0.12706091654351404,22.15
1.0,127.67603468383469,0.0,nan,nan,nan,-0.3263971671977419,-0.3785827473932215,0.1365786575990088,22.2
0.0,nan,0.0,nan,nan,nan,-0.38081995890900094,-0.26202956917071163,0.16253073402426593,22.25
0.0,nan,0.0,nan,nan,nan,-0.37087873589871095,-0.35597682890155513,0.09668287661075864,22.3
0.0,nan,0.0,nan,nan,nan,-0.3370498784665136,-0.2843970736256004,0.12471185722289098,22.35
1.0,127.1669601322838,0.0,nan,nan,nan,-0.33851256867699636,-0.3317677089990427,0.12211808181121073,22.4
0.0,nan,0.0,nan,nan,nan,-0.36900974497591205,-0.3370141868146774,0.14349111554421018,22.45
